"","date","meanGPP","meanRsoil","sumRain","DOYn","DOY.x","DOY.y","PulseDays"
"1",2017-01-01,0.091480013309875,0.146041666666667,2.54,1,1,NA,0
"2",2017-01-02,0.112922488958729,0.170888888888889,0,2,2,NA,0
"3",2017-01-03,0.077096496019375,0.2285,0,3,3,NA,0
"4",2017-01-04,0.0615146716439792,0.330902777777778,0,4,4,NA,0
"5",2017-01-05,0.0404434871346833,0.344618055555556,0,5,5,NA,0
"6",2017-01-06,0.0246626190797917,0.330243055555556,0,6,6,NA,0
"7",2017-01-07,0.061333400800625,0.295902777777778,0,7,7,NA,0
"8",2017-01-08,0.167391022050229,0.352152777777778,0,8,8,NA,0
"9",2017-01-09,0.0858998397075,0.375590277777778,0,9,9,NA,0
"10",2017-01-10,0.0638907839645833,0.362083333333333,0,10,10,NA,0
"11",2017-01-11,0.0700740912840104,0.346527777777778,0,11,11,NA,0
"12",2017-01-12,0.0845688944341667,0.322743055555556,0,12,12,NA,0
"13",2017-01-13,0.213874203048333,0.303055555555556,0,13,13,NA,0
"14",2017-01-14,0.158186574368125,0.322159090909091,9.271,14,14,14,14
"15",2017-01-15,0.0248615527708333,0.129583333333333,5.969,15,15,15,15
"16",2017-01-16,0.201491271194021,0.16452380952381,0,16,16,16,16
"17",2017-01-17,0.175544171603958,0.206722222222222,0,17,17,17,17
"18",2017-01-18,0.249676168643958,0.185657894736842,0,18,18,18,18
"19",2017-01-19,0.276866001295417,0.241006944444444,0,19,19,19,19
"20",2017-01-20,0.142977480255,0.244270833333333,1.778,20,20,NA,0
"21",2017-01-21,0.255717889971875,0.111875,7.239,21,21,21,21
"22",2017-01-22,0.336314737670833,0.213869047619048,0,22,22,22,22
"23",2017-01-23,0.19658877316875,0.27231884057971,0.254,23,23,23,23
"24",2017-01-24,0.204633192874729,0.230173611111111,0.762,24,24,24,24
"25",2017-01-25,0.124769002915625,0.212465277777778,0,25,25,25,25
"26",2017-01-26,0.114122350466667,0.205,0,26,26,NA,0
"27",2017-01-27,0.0427850102377083,0.199791666666667,0,27,27,NA,0
"28",2017-01-28,0.0514991163284792,0.211736111111111,0,28,28,NA,0
"29",2017-01-29,0.033502174415,0.229652777777778,0,29,29,NA,0
"30",2017-01-30,0.0230256376914583,0.250138888888889,0,30,30,NA,0
"31",2017-01-31,0.013104690233125,0.286284722222222,0,31,31,NA,0
"32",2017-02-01,0.0546635967620833,0.29,0,32,32,NA,0
"33",2017-02-02,0.00926929634604167,0.308333333333333,0,33,33,NA,0
"34",2017-02-03,0.02352485327625,0.401833333333333,0,34,34,NA,0
"35",2017-02-04,0.00904331205020833,0.332638888888889,0,35,35,NA,0
"36",2017-02-05,0.008488402548125,0.363472222222222,0,36,36,NA,0
"37",2017-02-06,0.0528186881495833,0.332395833333333,0,37,37,NA,0
"38",2017-02-07,0.0337353283789375,0.3540625,0,38,38,NA,0
"39",2017-02-08,0.0612118947836042,0.38213768115942,0,39,39,NA,0
"40",2017-02-09,0.0303988260198125,0.431840277777778,0,40,40,NA,0
"41",2017-02-10,0.0287945028835417,0.480208333333333,0,41,41,NA,0
"42",2017-02-11,0.05996743616,0.489375,0,42,42,NA,0
"43",2017-02-12,0.0889242322827083,0.42625,0,43,43,NA,0
"44",2017-02-13,0.0484991348758958,0.391770833333333,2.794,44,44,NA,0
"45",2017-02-14,0.070426252890625,0.299097222222222,0.635,45,45,NA,0
"46",2017-02-15,0.142590998621667,0.368090277777778,0,46,46,NA,0
"47",2017-02-16,0.178685913416979,0.399652777777778,0,47,47,NA,0
"48",2017-02-17,0.187295557656458,0.395034722222222,0,48,48,NA,0
"49",2017-02-18,0.0730387814336958,0.363993055555556,0.254,49,49,NA,0
"50",2017-02-19,0.0830332045416667,0.298333333333333,1.27,50,50,NA,0
"51",2017-02-20,0.178211595000208,0.429756944444444,0,51,51,NA,0
"52",2017-02-21,0.28680154165125,0.484409722222222,0,52,52,NA,0
"53",2017-02-22,0.34240432224375,0.490909090909091,0,53,53,NA,0
"54",2017-02-23,0.225684250820833,0.46481884057971,0,54,54,NA,0
"55",2017-02-24,0.181942824413333,0.404305555555556,0,55,55,NA,0
"56",2017-02-25,0.3883034694625,0.398680555555556,0,56,56,NA,0
"57",2017-02-26,0.252852725318542,0.360833333333333,0,57,57,NA,0
"58",2017-02-27,0.375009232583125,NA,0,58,58,NA,0
"59",2017-02-28,0.265472089167083,NA,0,59,59,NA,0
"60",2017-03-01,0.500678876538542,NA,0,60,60,NA,0
"61",2017-03-02,0.481924679113333,NA,0,61,61,NA,0
"62",2017-03-03,0.274576766167917,NA,0,62,62,NA,0
"63",2017-03-04,0.50324844879375,NA,0,63,63,NA,0
"64",2017-03-05,0.367947455073958,NA,0,64,64,NA,0
"65",2017-03-06,0.465173061585625,NA,0,65,65,NA,0
"66",2017-03-07,0.618037011760417,NA,0,66,66,NA,0
"67",2017-03-08,0.548951368304167,NA,0,67,67,NA,0
"68",2017-03-09,0.670183683759792,NA,0,68,68,NA,0
"69",2017-03-10,0.654127994127708,NA,0,69,69,NA,0
"70",2017-03-13,0.390841176062917,NA,0,72,72,NA,0
"71",2017-03-14,0.391613586222917,NA,0,73,73,NA,0
"72",2017-03-15,0.521723956997917,0.918571428571429,0,74,74,NA,0
"73",2017-03-16,0.442122413341667,0.928333333333333,0,75,75,NA,0
"74",2017-03-17,0.551268713582708,0.911969696969697,0,76,76,NA,0
"75",2017-03-18,0.61734015789,0.971111111111111,0,77,77,NA,0
"76",2017-03-19,0.675772466790208,1.00861111111111,0,78,78,NA,0
"77",2017-03-20,0.599400140545208,1.01472222222222,0,79,79,NA,0
"78",2017-03-21,0.807121608848542,0.991111111111111,0,80,80,NA,0
"79",2017-03-22,0.655271317122917,0.988333333333333,0,81,81,NA,0
"80",2017-03-23,0.373512032023313,0.907916666666667,0,82,82,NA,0
"81",2017-03-24,0.826069657475,0.774583333333333,0,83,83,NA,0
"82",2017-03-25,0.810015697445,0.825833333333333,0,84,84,NA,0
"83",2017-03-26,0.925604348020833,0.845416666666667,0,85,85,NA,0
"84",2017-03-27,0.791639217133333,0.828695652173913,0,86,86,NA,0
"85",2017-03-28,0.5075737897975,0.950277777777778,2.286,87,87,NA,0
"86",2017-03-29,0.93338847595,0.782638888888889,0,88,88,NA,0
"87",2017-03-30,1.10397129534979,0.815,0,89,89,NA,0
"88",2017-03-31,0.623448886297646,0.750277777777778,0,90,90,NA,0
"89",2017-04-01,0.74376524823125,0.640972222222222,0,91,91,NA,0
"90",2017-04-02,0.945444115079792,0.658888888888889,0,92,92,NA,0
"91",2017-04-03,0.760590666635417,0.715972222222222,0,93,93,NA,0
"92",2017-04-04,0.66811732712625,0.695138888888889,0,94,94,NA,0
"93",2017-04-05,0.664071688983333,0.640833333333333,0,95,95,NA,0
"94",2017-04-06,0.656894223735417,0.655138888888889,0,96,96,NA,0
"95",2017-04-07,0.594021839506458,0.719305555555556,0,97,97,NA,0
"96",2017-04-08,0.519911914635,0.771944444444444,0,98,98,NA,0
"97",2017-04-09,0.76292226860125,0.673472222222222,0,99,99,NA,0
"98",2017-04-10,0.582309696118542,0.643194444444444,0,100,100,NA,0
"99",2017-04-11,0.438338387391667,0.652608695652174,0,101,101,NA,0
"100",2017-04-12,0.439453496005833,0.703611111111111,0,102,102,NA,0
"101",2017-04-13,0.305019842284167,0.692644927536232,0,103,103,NA,0
"102",2017-04-14,0.215399623657917,0.6825,0,104,104,NA,0
"103",2017-04-15,0.239904960423729,0.676006944444444,0,105,105,NA,0
"104",2017-04-16,0.225762231195,0.653229166666667,0,106,106,NA,0
"105",2017-04-17,0.291303909355833,0.659673913043478,0,107,107,NA,0
"106",2017-04-18,0.29234271504375,0.707916666666667,0,108,108,NA,0
"107",2017-04-19,0.281130593528667,0.711458333333333,0,109,109,NA,0
"108",2017-04-20,0.350101735802708,0.682395833333333,0,110,110,NA,0
"109",2017-04-21,0.308381106409583,0.672083333333333,0,111,111,NA,0
"110",2017-04-22,0.456470797165,0.668020833333333,0,112,112,NA,0
"111",2017-04-23,0.4628883296875,0.656458333333333,0,113,113,NA,0
"112",2017-04-24,0.503448891583333,0.6575,0,114,114,NA,0
"113",2017-04-25,0.515472893641667,0.683229166666667,0,115,115,NA,0
"114",2017-04-26,0.418956309313125,0.601449275362319,0,116,116,NA,0
"115",2017-04-27,0.536217384414583,0.6265625,0,117,117,NA,0
"116",2017-04-28,0.404424136909833,0.6165625,0,118,118,NA,0
"117",2017-04-29,0.468330485220833,0.538298611111111,0,119,119,NA,0
"118",2017-04-30,0.342106817237708,0.513263888888889,0,120,120,NA,0
"119",2017-05-01,0.195674742093875,0.529340277777778,0,121,121,NA,0
"120",2017-05-02,0.15742945633875,0.536527777777778,0,122,122,NA,0
"121",2017-05-03,0.0789354625634583,0.578958333333333,0,123,123,NA,0
"122",2017-05-04,0.1415833656075,0.58,0,124,124,NA,0
"123",2017-05-05,0.109362266061458,0.577604166666667,0,125,125,NA,0
"124",2017-05-06,0.0774753765953333,0.557604166666667,0,126,126,NA,0
"125",2017-05-07,0.088707184436875,0.492777777777778,0,127,127,NA,0
"126",2017-05-08,0.15334291242136,0.455069444444444,0,128,128,NA,0
"127",2017-05-09,0.127445063996833,0.465555555555556,1.651,129,129,NA,0
"128",2017-05-10,0.0414176474479167,0.57625,0,130,130,NA,0
"129",2017-05-11,0.141505204132083,0.457777777777778,0,131,131,NA,0
"130",2017-05-12,0.0730554482929167,0.456022727272727,0,132,132,NA,0
"131",2017-05-13,0.0697330779370833,0.483819444444444,0,133,133,NA,0
"132",2017-05-14,0.04867226428,0.441875,0,134,134,NA,0
"133",2017-05-15,0.0442165764064583,0.445520833333333,0,135,135,NA,0
"134",2017-05-16,0.240705927890833,0.423263888888889,0,136,136,NA,0
"135",2017-05-17,0.258473054708333,0.432430555555556,0,137,137,NA,0
"136",2017-05-18,0.390236627642083,0.462101449275362,0,138,138,NA,0
"137",2017-05-19,0.398340107084375,0.457361111111111,0,139,139,NA,0
"138",2017-05-20,0.2340738487275,0.445034722222222,0,140,140,NA,0
"139",2017-05-21,0.125006034915625,0.496875,0,141,141,NA,0
"140",2017-05-22,0.171974317578958,0.531215277777778,0,142,142,NA,0
"141",2017-05-23,0.229804897597292,0.55875,0,143,143,NA,0
"142",2017-05-24,0.202573132099583,0.568194444444444,0,144,144,NA,0
"143",2017-05-25,0.116446303822271,0.568576388888889,0,145,145,NA,0
"144",2017-05-26,0.149305056951875,0.514021739130435,0,146,146,NA,0
"145",2017-05-27,0.173936097297917,0.500416666666667,0,147,147,NA,0
"146",2017-05-28,0.174440559659583,0.464340277777778,0,148,148,NA,0
"147",2017-05-29,0.179334848385833,0.461284722222222,0,149,149,NA,0
"148",2017-05-30,0.154412974775292,0.470104166666667,0,150,150,NA,0
"149",2017-05-31,0.0380132229850417,0.434930555555556,0,151,151,NA,0
"150",2017-06-01,0.0675469558858333,0.409895833333333,0,152,152,NA,0
"151",2017-06-02,0.149522382765208,0.454409722222222,0,153,153,NA,0
"152",2017-06-03,0.157134482741458,0.478055555555556,0,154,154,NA,0
"153",2017-06-04,0.0884074567689792,0.487048611111111,0,155,155,NA,0
"154",2017-06-05,0.0531318329389583,0.521739130434783,0,156,156,NA,0
"155",2017-06-06,0.099785719764375,0.531458333333333,0,157,157,NA,0
"156",2017-06-07,0.123851611454167,0.718229166666667,1.397,158,158,NA,0
"157",2017-06-08,0.0642194842554167,0.4971875,0,159,159,NA,0
"158",2017-06-09,0.0808806436133125,0.488368055555556,0,160,160,NA,0
"159",2017-06-10,0.0437252999116667,0.463333333333333,0,161,161,NA,0
"160",2017-06-11,0.0498092938845833,0.463472222222222,0,162,162,NA,0
"161",2017-06-12,0.0142376255585417,0.470347222222222,0,163,163,NA,0
"162",2017-06-13,0.0472036519213333,0.482222222222222,0,164,164,NA,0
"163",2017-06-14,0.04088174363125,0.495,0,165,165,NA,0
"164",2017-06-15,0.116467463114375,0.5121875,0,166,166,NA,0
"165",2017-06-16,0.05200056729375,0.539375,0,167,167,NA,0
"166",2017-06-17,0.0457755039329167,0.538576388888889,0,168,168,NA,0
"167",2017-06-18,0.0822716931072917,0.556979166666667,0,169,169,NA,0
"168",2017-06-19,0.0831895756604167,0.577638888888889,0,170,170,NA,0
"169",2017-06-20,0.135344867342292,0.640208333333333,0,171,171,NA,0
"170",2017-06-21,0.432773140456667,1.05315217391304,6.35,172,172,172,172
"171",2017-06-22,0.0701391414729167,1.16431818181818,0,173,173,173,173
"172",2017-06-23,0.3627410765925,0.698875,0,174,174,174,174
"173",2017-06-24,0.618899063301042,0.631402777777778,0,175,175,175,175
"174",2017-06-25,0.632367271842083,0.548291666666667,25.654,176,176,176,176
"175",2017-06-26,0.145342542008187,2.19765277777778,1.651,177,177,177,177
"176",2017-06-27,0.271991581058333,2.3548125,0,178,178,178,178
"177",2017-06-28,0.297490533607292,1.936,0,179,179,179,179
"178",2017-06-29,0.4507872375125,1.72991666666667,0,180,180,180,180
"179",2017-06-30,0.57386437095,1.4995,0,181,181,NA,0
"180",2017-07-01,0.4375014599,1.34383333333333,0,182,182,NA,0
"181",2017-07-02,0.633375226777292,1.13141666666667,0,183,183,NA,0
"182",2017-07-03,0.713105076380833,0.809159090909091,59.944,184,184,184,184
"183",2017-07-04,0.320532446412396,2.1426875,0,185,185,185,185
"184",2017-07-05,1.09628963761458,2.41335416666667,0,186,186,186,186
"185",2017-07-06,1.72660513723333,2.32316666666667,0,187,187,187,187
"186",2017-07-07,2.19087779655625,2.150125,0,188,188,188,188
"187",2017-07-08,2.55221646186875,2.00375,0,189,189,NA,0
"188",2017-07-09,2.09784036321271,1.40977777777778,8.509,190,190,190,190
"189",2017-07-10,2.42190855136875,2.09350574712644,2.159,191,191,191,191
"190",2017-07-11,3.17683167024979,2.33898550724638,0,192,192,192,192
"191",2017-07-12,2.279728936325,1.07418115942029,14.732,193,193,193,193
"192",2017-07-13,3.59742215455,1.770475,39.751,194,194,194,194
"193",2017-07-14,3.72018189790625,1.76569565217391,0,195,195,195,195
"194",2017-07-15,3.81738883300417,2.0720652173913,0.635,196,196,196,196
"195",2017-07-16,2.84108667104854,1.70607971014493,2.286,197,197,197,197
"196",2017-07-17,3.23439635702708,1.23951449275362,8.128,198,198,198,198
"197",2017-07-18,3.80431301798688,1.78138888888889,0,199,199,199,199
"198",2017-07-19,3.59234171781667,1.97139583333333,0,200,200,200,200
"199",2017-07-20,3.84899592568542,2.07450757575758,0,201,201,201,201
"200",2017-07-21,3.49148012930563,1.88681944444444,0.508,202,202,202,202
"201",2017-07-22,3.09203920387708,1.47181884057971,2.413,203,203,NA,0
"202",2017-07-23,3.6952046248875,1.44129166666667,2.032,204,204,NA,0
"203",2017-07-24,4.21181212185317,1.87186363636364,0,205,205,NA,0
"204",2017-07-25,5.43878002270208,2.06768115942029,0,206,206,NA,0
"205",2017-07-26,3.71783284363125,1.33058695652174,11.684,207,207,207,207
